hasBotanical,Botanical
isDistilledUsing,DistillationMethod
hasBaseSpirit,GinBaseSpirit
isProducedBy,GinProducer
isFromRegion,Region
hasFlavorProfile,GinFlavorProfile
hasGinComponent,GinComponent
hasDistillationMethod,DistillationMethod
hasGinVolume,GinVolume
hasGinStrength,GinStrength
hasGinColor,GinColor
hasGinCertification,GinCertification
hasGinAge,GinAge
isProducedBy,Distillery
isFromRegion,Region
hasGinVolume,GinVolume
hasGinStrength,GinStrength
hasGinColor,GinColor
hasGinCertification,GinCertification
hasGinAge,GinAge
