Here is the list of range definitions for the properties:

1. hasIngredient, Sushi -> Ingredient
2. hasIngredient, NigiriSushi -> Ingredient
3. hasIngredient, MakiSushi -> Ingredient
4. hasIngredient, TemakiSushi -> Ingredient
5. hasIngredient, ChirashiSushi -> Ingredient
6. hasIngredient, InariSushi -> Ingredient
7. hasIngredient, GunkanMaki -> Ingredient
8. hasIngredient, Oshizushi -> Ingredient
9. hasIngredient, Narezushi -> Ingredient
10. hasIngredient, Sashimi -> Ingredient
11. hasIngredient, SeafoodSushi -> Ingredient
12. hasIngredient, VegetableSushi -> Ingredient
13. hasIngredient, CookedSushi -> Ingredient
14. hasIngredient, RawSushi -> Ingredient
15. hasIngredient, Rice -> Ingredient
16. hasIngredient, SushiRice -> Ingredient
17. hasIngredient, VinegaredRice -> Ingredient
18. hasIngredient, Seaweed -> Ingredient
19. hasIngredient, Nori -> Ingredient
20. hasIngredient, Kombu -> Ingredient
21. hasIngredient, Wasabi -> Ingredient
22. hasIngredient, SoySauce -> Ingredient
23. hasIngredient, PickledGinger -> Ingredient
24. hasIngredient, SushiRoll -> Ingredient
25. hasIngredient, CaliforniaRoll -> Ingredient
26. hasIngredient, SpicyTunaRoll -> Ingredient
27. hasIngredient, PhiladelphiaRoll -> Ingredient
28. hasIngredient, DragonRoll -> Ingredient
29. hasIngredient, RainbowRoll -> Ingredient
30. hasIngredient, SalmonSushi -> Ingredient
31. hasIngredient, TunaSushi -> Ingredient
32. hasIngredient, YellowtailSushi -> Ingredient
33. hasIngredient, EelSushi -> Ingredient
34. hasIngredient, ShrimpSushi -> Ingredient
35. hasIngredient, ScallopSushi -> Ingredient
36. hasIngredient, OctopusSushi -> Ingredient
37. hasIngredient, SquidSushi -> Ingredient
38. hasIngredient, MackerelSushi -> Ingredient
39. hasIngredient, SalmonRoe -> Ingredient
40. hasIngredient, TunaRoe -> Ingredient
41. hasIngredient, FlyingFishRoe -> Ingredient
42. hasIngredient, Cucumber -> Ingredient
43. hasIngredient, Avocado -> Ingredient
44. hasIngredient, Carrot -> Ingredient
45. hasIngredient, Asparagus -> Ingredient
46. hasIngredient, ShiitakeMushroom -> Ingredient
47. hasIngredient, SweetEgg -> Ingredient
48. hasIngredient, Tofu -> Ingredient
49. hasIngredient, SesameSeed -> Ingredient
50. hasIngredient, SesameOil -> Ingredient
51. hasIngredient, RiceVinegar -> Ingredient
52. hasIngredient, Sugar -> Ingredient
53. hasIngredient, Salt -> Ingredient
54. hasIngredient, Fish -> Ingredient
55. hasIngredient, Shellfish -> Ingredient
56. hasIngredient, Crab -> Ingredient
57. hasIngredient, Lobster -> Ingredient
58. hasIngredient, Uni -> Ingredient
59. hasIngredient, Ikura -> Ingredient
60. hasIngredient, Anago -> Ingredient
61. hasIngredient, Unagi -> Ingredient
62. hasIngredient, Ebi -> Ingredient
63. hasIngredient, Hotate -> Ingredient
64. hasIngredient, Tako -> Ingredient
65. hasIngredient, Ika -> Ingredient
66. hasIngredient, Saba -> Ingredient
67. hasIngredient, Vegetable -> Ingredient
68. hasIngredient, Fruit -> Ingredient
69. hasIngredient, Protein -> Ingredient
70. hasIngredient, Ingredient -> Ingredient
71. hasGarnish, Sushi -> Garnish
72. hasGarnish, NigiriSushi -> Garnish
73. hasGarnish, MakiSushi -> Garnish
74. hasGarnish, TemakiSushi -> Garnish
75. hasGarnish, ChirashiSushi -> Garnish
76. hasGarnish, InariSushi -> Garnish
77. hasGarnish, GunkanMaki -> Garnish
78. hasGarnish, Oshizushi -> Garnish
79. hasGarnish, Narezushi -> Garnish
80. hasGarnish, Sashimi -> Garnish
81. hasGarnish, SeafoodSushi -> Garnish
82. hasGarnish, VegetableSushi -> Garnish
83. hasGarnish, CookedSushi -> Garnish
84. hasGarnish, RawSushi -> Garnish
85. hasGarnish, Rice -> Garnish
86. hasGarnish, SushiRice -> Garnish
87. hasGarnish, VinegaredRice -> Garnish
88. hasGarnish, Seaweed -> Garnish
89. hasGarnish, Nori -> Garnish
90. hasGarnish, Kombu -> Garnish
91. hasGarnish, Wasabi -> Garnish
92. hasGarnish, SoySauce -> Garnish
93. hasGarnish, PickledGinger -> Garnish
94. hasGarnish, SushiRoll -> Garnish
95. hasGarnish, CaliforniaRoll -> Garnish
96. hasGarnish, SpicyTunaRoll -> Garnish
97. hasGarnish, PhiladelphiaRoll -> Garnish
98. hasGarnish, DragonRoll -> Garnish
99. hasGarnish, RainbowRoll -> Garnish
100. hasGarnish, SalmonSushi -> Garnish
101. hasGarnish, TunaSushi -> Garnish
102. hasGarnish, YellowtailSushi -> Garnish
103. hasGarnish, EelSushi -> Garnish
104. hasGarnish, ShrimpSushi -> Garnish
105. hasGarnish, ScallopSushi -> Garnish
106. hasGarnish, OctopusSushi -> Garnish
107. hasGarnish, SquidSushi -> Garnish
108. hasGarnish, MackerelSushi -> Garnish
109. hasGarnish, SalmonRoe -> Garnish
110. hasGarnish, TunaRoe -> Garnish
111. hasGarnish, FlyingFishRoe -> Garnish
112. hasGarnish, Cucumber -> Garnish
113. hasGarnish, Avocado -> Garnish
114. hasGarnish, Carrot -> Garnish
115. hasGarnish, Asparagus -> Garnish
116. hasGarnish, ShiitakeMushroom -> Garnish
117. hasGarnish, SweetEgg -> Garnish
118. hasGarnish, Tofu -> Garnish
119. hasGarnish, SesameSeed -> Garnish
120. hasGarnish, SesameOil -> Garnish
121. hasGarnish, RiceVinegar -> Garnish
122. hasGarnish, Sugar -> Garnish
123. hasGarnish, Salt -> Garnish
124. hasGarnish, Fish -> Garnish
125. hasGarnish, Shellfish -> Garnish
126. hasGarnish, Crab -> Garnish
127. hasGarnish, Lobster -> Garnish
128. hasGarnish, Uni -> Garnish
129. hasGarnish, Ikura -> Garnish
130. hasGarnish, Anago -> Garnish
131. hasGarnish, Unagi -> Garnish
132. hasGarnish, Ebi -> Garnish
133. hasGarnish, Hotate -> Garnish
134. hasGarnish, Tako -> Garnish
135. hasGarnish, Ika -> Garnish
136. hasGarnish, Saba -> Garnish
137. hasGarnish, Vegetable -> Garnish
138. hasGarnish, Fruit -> Garnish
139. hasGarnish, Protein -> Garnish
140. hasGarnish, Ingredient -> Garnish
141. isPreparedWith, Sushi -> Ingredient
142. isPreparedWith, NigiriSushi -> Ingredient
143. isPreparedWith, MakiSushi -> Ingredient
144. isPreparedWith, TemakiSushi -> Ingredient
145. isPreparedWith, ChirashiSushi -> Ingredient
146. isPreparedWith, InariSushi -> Ingredient
147. isPreparedWith, GunkanMaki -> Ingredient
148. isPreparedWith, Oshizushi -> Ingredient
149. isPreparedWith, Narezushi -> Ingredient
150. isPreparedWith, Sashimi -> Ingredient
151. isPreparedWith, SeafoodSushi -> Ingredient
152. isPreparedWith, VegetableSushi -> Ingredient
153. isPreparedWith, CookedSushi -> Ingredient
154. isPreparedWith, RawSushi -> Ingredient
155. isPreparedWith, Rice -> Ingredient
156. isPreparedWith, SushiRice -> Ingredient
157. isPreparedWith, VinegaredRice -> Ingredient
158. isPreparedWith, Seaweed -> Ingredient
159. isPreparedWith, Nori -> Ingredient
160. isPreparedWith, Kombu -> Ingredient
161. isPreparedWith, Wasabi -> Ingredient
162. isPreparedWith, SoySauce -> Ingredient
163. isPreparedWith, PickledGinger -> Ingredient
164. isPreparedWith, SushiRoll -> Ingredient
165. isPreparedWith, CaliforniaRoll -> Ingredient
166. isPreparedWith, SpicyTunaRoll -> Ingredient
167. isPreparedWith, PhiladelphiaRoll -> Ingredient
168. isPreparedWith, DragonRoll -> Ingredient
169. isPreparedWith, RainbowRoll -> Ingredient
170. isPreparedWith, SalmonSushi -> Ingredient
171. isPreparedWith, TunaSushi -> Ingredient
172. isPreparedWith, YellowtailSushi -> Ingredient
173. isPreparedWith, EelSushi -> Ingredient
174. isPreparedWith, ShrimpSushi -> Ingredient
175. isPreparedWith, ScallopSushi -> Ingredient
176. isPreparedWith, OctopusSushi -> Ingredient
177. isPreparedWith, SquidSushi -> Ingredient
178. isPreparedWith, MackerelSushi -> Ingredient
179. isPreparedWith, SalmonRoe -> Ingredient
180. isPreparedWith, TunaRoe -> Ingredient
181. isPreparedWith, FlyingFishRoe -> Ingredient
182. isPreparedWith, Cucumber -> Ingredient
183. isPreparedWith, Avocado -> Ingredient
184. isPreparedWith, Carrot -> Ingredient
185. isPreparedWith, Asparagus -> Ingredient
186. isPreparedWith, ShiitakeMushroom -> Ingredient
187. isPreparedWith, SweetEgg -> Ingredient
188. isPreparedWith, Tofu -> Ingredient
189. isPreparedWith, SesameSeed -> Ingredient
190. isPreparedWith, SesameOil -> Ingredient
191. isPreparedWith, RiceVinegar -> Ingredient
192. isPreparedWith, Sugar -> Ingredient
193. isPreparedWith, Salt -> Ingredient
194. isPreparedWith, Fish -> Ingredient
195. isPreparedWith, Shellfish -> Ingredient
196. isPreparedWith, Crab -> Ingredient
197. isPreparedWith, Lobster -> Ingredient
198. isPreparedWith, Uni -> Ingredient
199. isPreparedWith, Ikura -> Ingredient
200. isPreparedWith, Anago -> Ingredient
201. isPreparedWith, Unagi -> Ingredient
202. isPreparedWith, Ebi -> Ingredient
203. isPreparedWith, Hotate -> Ingredient
204. isPreparedWith, Tako -> Ingredient
205. isPreparedWith, Ika -> Ingredient
206. isPreparedWith, Saba -> Ingredient
207. isPreparedWith, Vegetable -> Ingredient
208. isPreparedWith, Fruit -> Ingredient
209. isPreparedWith, Protein -> Ingredient
210. isPreparedWith, Ingredient -> Ingredient
211. isServedWith, Sushi -> SideDish
212. isServedWith, NigiriSushi -> SideDish
213. isServedWith, MakiSushi -> SideDish
214. isServedWith, TemakiSushi -> SideDish
215. isServedWith, ChirashiSushi -> SideDish
216. isServedWith, InariSushi -> SideDish
217. isServedWith, GunkanMaki -> SideDish
218. isServedWith, Oshizushi -> SideDish
219. isServedWith, Narezushi -> SideDish
220. isServedWith, Sashimi -> SideDish
221. isServedWith, SeafoodSushi -> SideDish
222. isServedWith, VegetableSushi -> SideDish
223. isServedWith, CookedSushi -> SideDish
224. isServedWith, RawSushi -> SideDish
225. isServedWith, Rice -> SideDish
226. isServedWith, SushiRice -> SideDish
227. isServedWith, VinegaredRice -> SideDish
228. isServedWith, Seaweed -> SideDish
229. isServedWith, Nori -> SideDish
230. isServedWith, Kombu -> SideDish
231. isServedWith, Wasabi -> SideDish
232. isServedWith, SoySauce -> SideDish
233. isServedWith, PickledGinger -> SideDish
234. isServedWith, SushiRoll -> SideDish
235. isServedWith, CaliforniaRoll -> SideDish
236. isServedWith, SpicyTunaRoll -> SideDish
237. isServedWith, PhiladelphiaRoll -> SideDish
238. isServedWith, DragonRoll -> SideDish
