hasGrain,Grain
hasWaterSource,Water
usesYeast,Yeast
maturesIn,Maturation
distilledUsing,Distillation
producedBy,Distillery
bottledBy,Bottler
isFromRegion,Region
hasFlavorProfile,FlavorProfile
hasAroma,Aroma
hasPalate,Palate
hasFinish,Finish
hasColor,Color
hasABV,ABV
hasProof,Proof
hasGrainType,GrainType
hasCaskType,CaskType
hasCharLevel,CharLevel
hasWhiskeyType,WhiskeyType
hasAgeStatement,AgeStatement
hasFlavorNote,FlavorNote
hasProductionProcess,ProductionProcess
hasFiltration,Filtration
hasChillFiltration,ChillFiltration
hasColoring,Coloring
hasAdditives,Additives
hasPackaging,Packaging
hasBottle,Bottle
hasLabel,Label
hasCap,Cap
hasBox,Box
hasConsumer,Consumer
hasReview,Review
hasRating,Rating
hasTastingNote,TastingNote
hasDistiller,Distiller
hasMasterDistiller,MasterDistiller
hasImporter,Importer
hasExporter,Exporter
hasRegulation,Regulation
hasTax,Tax
hasAlcoholContent,AlcoholContent
hasLegalLimit,LegalLimit
hasOrigin,Origin
hasTerroir,Terroir
hasClimate,Climate
hasWaterSource,WaterSource
hasGrainSupplier,GrainSupplier
hasCooperage,Cooperage
hasWarehouse,Warehouse
hasInventory,Inventory
hasBatchNumber,BatchNumber
hasVintage,Vintage
hasEdition,Edition
hasRelease,Release
hasCollection,Collection
hasAward,Award
hasCompetition,Competition
hasGoldMedal,GoldMedal
hasSilverMedal,SilverMedal
hasBronzeMedal,BronzeMedal

