hasGrain,Grain
hasWaterSource,Water
usesYeast,Yeast
maturesIn,Maturation
distilledUsing,Distillation
producedBy,Distillery
bottledBy,Bottler
isFromRegion,Region
hasFlavorProfile,FlavorProfile
hasAroma,Aroma
hasPalate,Palate
hasFinish,Finish
hasColor,Color
hasABV,ABV
hasProof,Proof
distilledUsing,Still
maturesIn,Oak
maturesIn,Barrel
bottledBy,Brand
producedBy,Distiller
producedBy,MasterDistiller
bottledBy,Bottler
bottledBy,Importer
bottledBy,Exporter
hasAgeStatement,AgeStatement
hasFlavorNote,FlavorNote
hasFlavorNote,Fruit
hasFlavorNote,Spice
hasFlavorNote,Floral
hasFlavorNote,Wood
hasFlavorNote,Smoky
hasFlavorNote,Peppery
hasFlavorNote,Vanilla
hasFlavorNote,Honey
hasFlavorNote,Caramel
hasFlavorNote,Chocolate
hasFlavorNote,Citrus
hasFlavorNote,Nutty
hasFlavorNote,GrainForward
hasFlavorNote,Cereal
hasFlavorNote,OakInfluence
hasPackaging,Bottle
hasPackaging,Label
hasPackaging,Cap
hasPackaging,Box
hasRating,Rating
hasTastingNote,TastingNote
hasAward,Award
hasAward,GoldMedal
hasAward,SilverMedal
hasAward,BronzeMedal
