Whiskey,DistilledSpirit
Corn,GrainType
Rye,GrainType
Wheat,GrainType
Barley,GrainType
Malt,GrainType
Peat,GrainType
BourbonBarrel,CaskType
SherryCask,CaskType
PortCask,CaskType
WineCask,CaskType
NewOak,CaskType
ScotchWhisky,WhiskeyType
IrishWhiskey,WhiskeyType
BourbonWhiskey,WhiskeyType
RyeWhiskey,WhiskeyType
JapaneseWhisky,WhiskeyType
CanadianWhiskey,WhiskeyType
TennesseeWhiskey,WhiskeyType
SingleMaltWhiskey,WhiskeyType
SingleGrainWhiskey,WhiskeyType
BlendedWhiskey,WhiskeyType
BlendedMaltWhiskey,WhiskeyType
CaskStrengthWhiskey,WhiskeyType
BottledInBond,WhiskeyType
SmallBatchWhiskey,WhiskeyType
LimitedEditionWhiskey,WhiskeyType
Fruit,FlavorNote
Spice,FlavorNote
Floral,FlavorNote
Wood,FlavorNote
Smoky,FlavorNote
Peppery,FlavorNote
Vanilla,FlavorNote
Honey,FlavorNote
Caramel,FlavorNote
Chocolate,FlavorNote
Citrus,FlavorNote
Nutty,FlavorNote
GrainForward,FlavorNote
Cereal,FlavorNote
OakInfluence,FlavorNote
Filtration,ProductionProcess
ChillFiltration,Filtration
Coloring,ProductionProcess
Additives,ProductionProcess
Bottle,Packaging
Label,Packaging
Cap,Packaging
Box,Packaging
Review,TastingNote
Rating,TastingNote
MasterDistiller,Distiller
GoldMedal,Award
SilverMedal,Award
BronzeMedal,Award
ABV,AlcoholContent
Proof,AlcoholContent
AgeStatement,Whiskey
FlavorProfile,Whiskey
Aroma,FlavorProfile
Palate,FlavorProfile
Finish,FlavorProfile
Color,Whiskey
Region,Origin
Country,Origin
Terroir,Origin
Climate,Terroir
WaterSource,Terroir
GrainSupplier,Terroir
Cooperage,Warehouse
Warehouse,Inventory
BatchNumber,Inventory
Vintage,Inventory
Edition,Inventory
Release,Inventory
Collection,Inventory
Distillery,Brand
Brand,Bottler
Bottler,Packaging
