Whiskey,DistilledSpirit
Corn,Grain
Rye,Grain
Wheat,Grain
Barley,Grain
Malt,Grain
Peat,Grain
BourbonBarrel,CaskType
SherryCask,CaskType
PortCask,CaskType
WineCask,CaskType
NewOak,CaskType
ScotchWhisky,WhiskeyType
IrishWhiskey,WhiskeyType
BourbonWhiskey,WhiskeyType
RyeWhiskey,WhiskeyType
JapaneseWhisky,WhiskeyType
CanadianWhiskey,WhiskeyType
TennesseeWhiskey,WhiskeyType
SingleMaltWhiskey,WhiskeyType
SingleGrainWhiskey,WhiskeyType
BlendedWhiskey,WhiskeyType
BlendedMaltWhiskey,WhiskeyType
CaskStrengthWhiskey,WhiskeyType
BottledInBond,WhiskeyType
SmallBatchWhiskey,WhiskeyType
LimitedEditionWhiskey,WhiskeyType
Fruit,FlavorNote
Spice,FlavorNote
Floral,FlavorNote
Wood,FlavorNote
Smoky,FlavorNote
Peppery,FlavorNote
Vanilla,FlavorNote
Honey,FlavorNote
Caramel,FlavorNote
Chocolate,FlavorNote
Citrus,FlavorNote
Nutty,FlavorNote
GrainForward,FlavorNote
Cereal,FlavorNote
OakInfluence,FlavorNote
ChillFiltration,Filtration
Coloring,Additives
Bottle,Packaging
Label,Packaging
Cap,Packaging
Box,Packaging
Review,Consumer
Rating,Consumer
TastingNote,Consumer
MasterDistiller,Distiller
GoldMedal,Award
SilverMedal,Award
BronzeMedal,Award
Competition,Award
