hasGrapeVariety,GrapeVariety
isMadeBy,Winemaker
isGrownIn,Vineyard
hasVintage,Vintage
hasAroma,Aroma
hasFlavor,Flavor
hasBody,Body
hasAcidity,Acidity
hasTannin,Tannin
hasWinePairing,WinePairing
isAwarded,WineAward
isReviewedBy,WineCritic
hasVinificationTechnique,VinificationTechnique
isGrownIn,Region
hasWinePairing,Food
isAwarded,GoldMedal
isAwarded,SilverMedal
isAwarded,BronzeMedal
isReviewedBy,WineReview
hasVinificationTechnique,Fermentation
hasVinificationTechnique,Maceration
hasVinificationTechnique,Aging
hasVinificationTechnique,Filtration
hasVinificationTechnique,Bottling
