IPA,PaleAle
Pilsner,Lager
Stout,Ale
Porter,Ale
Bock,Lager
Lambic,SourBeer
Gueuze,Lambic
FruitLambic,Lambic
Saison,BelgianBeer
Witbier,WheatBeer
BarleyWine,Ale
CreamAle,Ale
BrownAle,Ale
Dubbel,BelgianBeer
Tripel,BelgianBeer
Quadrupel,BelgianBeer
AmericanWheat,WheatBeer
GermanWheat,WheatBeer
DarkLager,Lager
ViennaLager,Lager
MunichDunkel,Lager
Schwarzbier,Lager
AmericanIPA,IPA
EnglishIPA,IPA
DoubleIPA,IPA
NewEnglandIPA,IPA
SessionIPA,IPA
ChocolateStout,Stout
OatmealStout,Stout
RussianImperialStout,Stout
RobustPorter,Porter
BalticPorter,Porter
Doppelbock,Bock
Maibock,Bock
FlandersRedAle,SourBeer
FruitBeer,Beer
SpiceBeer,Beer
Ale,Beer
Lager,Beer
HybridBeer,Beer
WheatBeer,Beer
SourBeer,Beer
BelgianBeer,Beer
Glass,BeerServingVessel
Bottle,BeerServingVessel
Can,BeerServingVessel
Keg,BeerServingVessel
Bitterness,BeerCharacteristic
Color,BeerCharacteristic
Aroma,BeerCharacteristic
Flavor,BeerCharacteristic
Body,BeerCharacteristic
HeadRetention,BeerCharacteristic
Clarity,BeerCharacteristic
CarbonationLevel,BeerCharacteristic
Mashing,BrewingProcess
Lautering,BrewingProcess
Boiling,BrewingProcess
Fermentation,BrewingProcess
Conditioning,BrewingProcess
Packaging,BrewingProcess
Belgium,BeerRegion
Germany,BeerRegion
USA,BeerRegion
UK,BeerRegion
CzechRepublic,BeerRegion
Ireland,BeerRegion
Canada,BeerRegion
Australia,BeerRegion
DryHop,BrewingMaterial
AdjunctSugar,BrewingMaterial
DryHopping,BrewingTechnique
ColdCrashing,BrewingTechnique
Oxygenation,BrewingTechnique
BJCP,BrewingStandard
SRM,BrewingStandard
EBC,BrewingStandard
Rating,BeerReview
Comment,BeerReview
BeerAdvocate,BeerConsumer
RateBeerUser,BeerConsumer
UntappdUser,BeerConsumer
